Ticker,ROE (Return on Equity),ROA (Return on Assets),P/E Ratio (PER),Debt/Equity Ratio,Current Ratio,Quick Ratio,Revenue Growth (YoY),Earnings Growth (YoY),EPS Growth (Next 5 Years),σ (std),MDD,6개월 수익률,20일 이동평균선,60일 이동평균선,이평괴리율(20일),RSI(14),MACD,Signal
CLX,4.43646,0.114630006,16.43485,2230.435,0.759,0.389,-0.189,-0.187,-0.192,0.013994004005795,-0.3600819427719417,-0.2161446039710064,113.52900733947754,118.23978157043456,-0.0778567971764314,18.64331783462238,-3.4037381945694705,-2.566960869971594
CME,0.13346,0.01601,26.894276,13.372,1.021,0.021,-0.03,-0.004,-0.005,0.0116900082018443,-0.1013076237753016,0.0430126992574402,268.0399993896484,266.5060607910156,0.0344724645974063,63.52578000843639,1.6173764233337806,0.503203139306689
CTSH,0.14501001,0.101560004,16.870369,7.854,2.358,1.965,0.074,-0.521,-0.529,0.0164392970906185,-0.2696923771377447,-0.0958053627748308,69.85149993896485,69.5471669514974,0.0433562245205811,68.6988364989448,1.4220833633203682,0.9721389025593836
KO,0.42442,0.08959,23.350992,144.771,1.211,0.877,0.051,0.301,0.298,0.0110432663310634,-0.0981850649354054,0.0377910465792417,69.12300071716308,67.89359690348307,0.0202102905170384,45.79325699687215,0.5644004674568066,0.5035505515767609
COIN,0.26005,0.00736,27.502594,48.559,2.404,1.105,0.589,4.306,4.73,0.0475659792138807,-0.5591932851024981,0.2375632550769479,332.04749755859376,329.8965001424154,-0.04251652244517,44.89916450937421,-8.057305664334592,-4.050996708205973
CL,2.93635,0.15337,21.980392,680.048,0.93,0.505,0.019,0.011,-0.003,0.0130905352812375,-0.2168200521526058,-0.0957010097159286,77.62704429626464,80.11138979593913,0.0108590624837051,49.41542636917367,-0.4503798050078842,-0.7249268090149725
CMCSA,0.24186,0.051069997,4.5049834,101.462,0.882,0.689,-0.027,-0.042,-0.082,0.0173927852744019,-0.3642302840594117,-0.2049698654720957,28.62800006866455,30.965025901794437,-0.0526756750668646,26.904395803463387,-0.9349946205940682,-0.8701287931595973
CAG,0.096540004,0.046669997,9.59322,92.867,1.058,0.401,-0.058,-0.649,-0.648,0.0158528020919457,-0.3669823196128315,-0.2269957603946568,17.63868913650513,18.212431812286376,-0.0373434550136479,33.57158709902427,-0.3476895799969099,-0.2838618241053383
COP,0.15421,0.080979995,12.461865,36.169,1.323,0.999,0.14,-0.216,-0.162,0.0208466880132943,-0.2674861500605806,-0.0473084994178559,87.68750114440918,92.22000033060708,0.006186767845408,55.64515938190556,-1.1341592794990163,-1.298485962736546
CEG,0.19839,0.0388,41.296337,61.51,1.563,1.144,0.003,-0.223,-0.225,0.0391910341168989,-0.5070227772329307,0.2412830930959644,376.0895004272461,345.38558298746744,-0.0403082450699721,50.79529692499101,1.253837473741271,5.844244314789679
CPRT,0.18481001,0.118310004,26.044025,1.127,8.422,7.335,0.052,0.242,0.229,0.0166351962737066,-0.37374687583525,-0.3362718343882092,43.42049961090088,45.6111665725708,-0.0463030085214409,23.70011946880203,-1.1009823107436532,-0.8499837530993498
COO,0.050100002,0.03794,34.666668,29.67,2.116,0.908,0.057,-0.058,-0.061,0.0224340288797422,-0.3873118914262633,-0.1350293618771221,71.38849983215331,69.80066693623861,-0.0093642339175349,26.637570588529258,-0.107525178838074,0.194776189040792
ED,0.08839,0.03264,17.174826,110.373,1.075,0.694,0.107,0.124,0.17,0.0125037097083935,-0.1422666786905648,-0.006798638297741,99.4150001525879,98.99350026448568,-0.011819164985313,38.37535642559821,-0.635971037542717,-0.4383514560652836
